項,x座標,y座標,幅,高さ
1,0.138360176,0.100585938,0.030014641,0.01171875
1,0.178623719,0.099609375,0.078330893,0.015136719
1,0.136896047,0.114746094,0.073206442,0.015136719
1,0.220351391,0.114746094,0.017569546,0.012207031
1,0.248901903,0.115722656,0.010248902,0.01171875
1,0.106881406,0.130371094,0.086383602,0.015625
1,0.20204978,0.129882813,0.080527086,0.015625
1,0.122254758,0.145019531,0.053440703,0.012695313
1,0.186676428,0.145019531,0.017569546,0.012207031
1,0.21522694,0.145507813,0.058565154,0.014648438
1,0.119326501,0.158691406,0.061493411,0.017089844
1,0.188872621,0.160644531,0.03806735,0.015136719
1,0.234992679,0.16015625,0.049048316,0.015625
1,0.131771596,0.173828125,0.032210835,0.017089844
1,0.166910688,0.17578125,0.025622255,0.015136719
1,0.199853587,0.175292969,0.066617862,0.015625
1,0.16398243,0.190429688,0.068814056,0.012695313
1,0.726939971,0.115234375,0.054172767,0.015136719
1,0.717423133,0.130371094,0.051976574,0.015625
1,0.780380673,0.130859375,0.010248902,0.012207031
1,0.720351391,0.145996094,0.064421669,0.012207031
1,0.772327965,0.271484375,0.043191801,0.015136719
1,0.819912152,0.271972656,0.019765739,0.014648438
1,0.776720351,0.285644531,0.058565154,0.014648438
1,0.754758419,0.300292969,0.104685212,0.015136719
1,0.756222548,0.314453125,0.098828697,0.012207031
1,0.768667643,0.329101563,0.075402635,0.015136719
1,0.747437775,0.343261719,0.054904832,0.01171875
1,0.813323572,0.343261719,0.05124451,0.012207031
1,0.765007321,0.357910156,0.08272328,0.012207031
1,0.328696925,0.294921875,0.0761347,0.014160156
1,0.128111274,0.296386719,0.035139092,0.015136719
1,0.174231332,0.296386719,0.065885798,0.015136719
1,0.136896047,0.309570313,0.03147877,0.016601563
1,0.168374817,0.311035156,0.064421669,0.015136719
1,0.133967789,0.325195313,0.10102489,0.015136719
1,0.131771596,0.33984375,0.033674963,0.01171875
1,0.175695461,0.340332031,0.060761347,0.011230469
1,0.106881406,0.447265625,0.053440703,0.014160156
1,0.093704246,0.463378906,0.081259151,0.017578125
1,0.111273792,0.48046875,0.043923865,0.016113281
1,0.084187408,0.496582031,0.098096633,0.014648438
1,0.100292826,0.513183594,0.045387994,0.014648438
1,0.156661786,0.514648438,0.011713031,0.015625
1,0.084187408,0.528320313,0.099560761,0.016113281
1,0.098096633,0.547363281,0.071742313,0.014648438
1,0.092240117,0.564941406,0.084187408,0.016113281
1,0.100292826,0.580566406,0.043923865,0.016601563
1,0.155197657,0.581542969,0.011713031,0.016113281
1,0.083455344,0.594238281,0.100292826,0.017578125
1,0.086383602,0.61328125,0.09443631,0.019042969
1,0.092240117,0.631835938,0.083455344,0.013183594
1,0.80966325,0.470703125,0.058565154,0.012695313
1,0.810395315,0.486328125,0.057101025,0.016113281
1,0.808931186,0.501464844,0.059297218,0.013183594
1,0.803806735,0.517089844,0.071742313,0.013183594
1,0.535139092,0.81640625,0.053440703,0.008789063
1,0.533674963,0.828613281,0.028550512,0.0078125
1,0.56954612,0.828613281,0.020497804,0.008300781
1,0.543923865,0.840332031,0.035139092,0.008789063
1,0.734992679,0.803710938,0.045387994,0.008300781
1,0.729868228,0.815429688,0.057833089,0.008300781
1,0.732796486,0.827636719,0.05124451,0.0078125
1,0.828696925,0.81640625,0.034407028,0.009765625
1,0.826500732,0.831542969,0.03806735,0.009765625
1,0.823572474,0.846679688,0.04465593,0.009765625
1,0.818448023,0.861328125,0.052708638,0.010253906
1,0.300146413,0.826171875,0.057101025,0.013671875
1,0.740849195,0.83984375,0.033674963,0.008300781
1,0.402635432,0.85546875,0.070278184,0.012695313
1,0.386530015,0.872558594,0.095900439,0.017089844
1,0.710834553,0.891113281,0.001464129,0.000488281
1,0.437774524,0.892578125,0.003660322,0.001464844